sourceFile,region,listingNumber,status,apn,address,zip,listingDate,pendingDate,contractualDate,sellingDate,listingPrice,originalPrice,sellingPrice,bidUpAmount,bidUpPct,saleToListRatio,dom,cdom,daysToPending,daysPendingToSale,beds,baths,sqft,yearBuilt,styleCode,subdivision,hasPendingContext,missingReasons,zillowUrl,kingCountyUrl
NE Seattle Rich Snapshot.csv,NE Seattle,2483848,Sold,5101405151,"866 NE 96th St, Seattle WA 98115",98115,2026-02-23,,2026-02-23,2026-02-23,800000,800000,800000,0,0,1,,0,,,3,1.75,1570,2017,32 - Townhouse,Maple Leaf,false,missing_pending_date,https://www.zillow.com/homes/866-ne-96th-st-seattle-wa-98115_rb/,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=5101405151
NW Seattle Rich Snapshot.csv,NW Seattle,2486970,Sold,,"838 NW 50th, Seattle WA 98107",98107,2026-02-20,,2026-02-20,2026-02-20,890000,890000,890000,0,0,1,,0,,,3,2.5,1700,2025,32 - Townhouse,Ballard,false,missing_pending_date,https://www.zillow.com/homes/838-nw-50th-seattle-wa-98107_rb/,
QA_Magnolia Rich Snapshot.csv,QA Magnolia,2482425,Sold,2533300629,"2920 11th Ave W, Seattle WA 98119",98119,2026-02-18,,2026-02-18,2026-02-18,1175000,1175000,1175000,0,0,1,,0,,,3,1.5,2160,1948,16 - 1 Story w/Bsmnt.,Queen Anne,false,missing_pending_date,https://www.zillow.com/homes/2920-11th-ave-w-seattle-wa-98119_rb/,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=2533300629
NE Seattle Rich Snapshot.csv,NE Seattle,2482911,Sold,9421500100,"13308 28th Ave NE, Seattle WA 98125",98125,2026-02-17,,2026-02-17,2026-02-17,870000,870000,870000,0,0,1,,0,,,3,1.75,1960,1960,16 - 1 Story w/Bsmnt.,Olympic Hills,false,missing_pending_date,https://www.zillow.com/homes/13308-28th-ave-ne-seattle-wa-98125_rb/,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=9421500100
Central Seattle Rich Snapshot.csv,Central Seattle,2481863,Sold,1338300040,"1227 20th Ave E, Seattle WA 98112",98112,2026-02-16,,2026-02-16,2026-02-16,1850000,1850000,1850000,0,0,1,,0,,,7,2.5,3040,1912,17 - 1 1/2 Stry w/Bsmt,North Capitol Hill,false,missing_pending_date,https://www.zillow.com/homes/1227-20th-ave-e-seattle-wa-98112_rb/,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1338300040
NW Seattle Rich Snapshot.csv,NW Seattle,2483336,Sold,6399630010,"10541 Ashworth Ave N A, Seattle WA 98133",98133,2026-02-13,,2026-02-13,2026-02-13,1075000,1075000,1075000,0,0,1,,0,,,3,2.75,2200,1951,31 - Condo (2 Levels),Haller Lake,false,missing_pending_date,https://www.zillow.com/homes/10541-ashworth-ave-n-a-seattle-wa-98133_rb/,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=6399630010
NW Seattle Rich Snapshot.csv,NW Seattle,2480542,Sold,0579003445,"2142 NW 95th St, Seattle WA 98117",98117,2026-02-13,,2026-02-13,2026-02-13,950000,950000,950000,0,0,1,,0,,,2,1.75,2000,1947,16 - 1 Story w/Bsmnt.,North Beach,false,missing_pending_date,https://www.zillow.com/homes/2142-nw-95th-st-seattle-wa-98117_rb/,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=0579003445
QA_Magnolia Rich Snapshot.csv,QA Magnolia,2480501,Sold,3879901253,"327 W Olympic Place C, Seattle WA 98119",98119,2026-02-13,,2026-02-13,2026-02-13,1050000,1050000,1050000,0,0,1,,0,,,2,1.75,1503,2016,32 - Townhouse,Queen Anne,false,missing_pending_date,https://www.zillow.com/homes/327-w-olympic-place-c-seattle-wa-98119_rb/,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=3879901253
NW Seattle Rich Snapshot.csv,NW Seattle,2480238,Sold,4441300136,"9003 View Ave NW, Seattle WA 98117",98117,2026-02-11,,2026-02-11,2026-02-11,1312000,1312000,1312000,0,0,1,,0,,,3,1.75,2090,1948,16 - 1 Story w/Bsmnt.,North Beach,false,missing_pending_date,https://www.zillow.com/homes/9003-view-ave-nw-seattle-wa-98117_rb/,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=4441300136
Central Seattle Rich Snapshot.csv,Central Seattle,2479263,Sold,9828702050,"1833 27th Ave, Seattle WA 98122",98122,2026-02-10,,2026-02-10,2026-02-10,850000,850000,850000,0,0,1,,0,,,3,2.5,1680,2010,32 - Townhouse,Madison Park,false,missing_pending_date,https://www.zillow.com/homes/1833-27th-ave-seattle-wa-98122_rb/,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=9828702050
Central_South Seattle Sale Stats.csv,Central South Seattle,2475992,Sold,8722100700,"1924 E Blaine St, Seattle WA 98112",98112,2026-02-02,,2026-02-02,2026-02-02,1500000,1500000,1500000,0,0,1,,0,,,3,2.5,2620,1926,18 - 2 Stories w/Bsmnt,Montlake,false,missing_pending_date,https://www.zillow.com/homes/1924-e-blaine-st-seattle-wa-98112_rb/,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=8722100700
