dataMode,id,address,neighborhood,type,listDate,pendingDate,listPriceAtPending,closePrice,assessedValue,beds,baths,sqft,yearBuilt,zip,districtName,area,subArea,sqFtLot,zoning
PUBLIC_PROXY,3343562,"3131 WESTERN AVENUE SUITE M423, Seattle 98144",4,11,2025-08-13,2025-08-13,822000,1200000,822000,3,1.75,1480,1981,98144,SEATTLE,15,4,5520,NR3
PUBLIC_PROXY,3349939,"4012 23RD AVE SW, Seattle 98106",6,11,2025-09-29,2025-09-29,911000,1210000,911000,3,2.50,1370,1951,98106,SEATTLE,45,6,5243,NR3
PUBLIC_PROXY,3364328,"1500 MAGNOLIA W, Seattle 98199",98199,11,2026-01-23,2026-01-23,1297000,1185000,1297000,3,3.25,2020,1996,98199,Seattle,,,0,
PUBLIC_PROXY,3352603,"3430 40TH AVE W, Seattle 98199",7,11,2025-10-20,2025-10-20,1150000,1265000,1150000,3,1.75,2480,1952,98199,SEATTLE,11,7,5612,NR3
PUBLIC_PROXY,3356518,"3915 CAMPBELL RD, Seattle 98236",1,11,2025-11-20,2025-11-20,1109000,1150000,1109000,3,1.75,1720,1919,98236,SEATTLE,19,1,5000,LR1 (M)
PUBLIC_PROXY,3351813,"7201 224TH ST SW ##L6, Seattle 98026",2,3,2025-10-13,2025-10-13,1197000,1259700,1197000,4,3.00,2570,1957,98026,SEATTLE,12,2,4400,LR1 (M)
PUBLIC_PROXY,3361915,"4747 THACKERAY PLACE NE, Seattle 98105",8,11,2026-01-02,2026-01-02,1106000,1235000,1106000,3,2.25,1780,1921,98105,SEATTLE,43,8,4080,NR3
PUBLIC_PROXY,3349262,"75 VINE ST UNIT 82, Seattle 98121",8,11,2025-09-25,2025-09-25,1151000,1375000,1151000,2,1.75,1670,1904,98121,SEATTLE,14,8,4385,NR3
PUBLIC_PROXY,3353861,"6545 47TH AVE NE, Seattle 98115",5,11,2025-10-28,2025-10-28,1339000,1390500,1339000,4,2.00,2290,1951,98115,SEATTLE,46,5,5782,NR3
PUBLIC_PROXY,3343970,"4539 48TH AVE NE, Seattle 98105",9,11,2025-08-18,2025-08-18,1359000,1350000,1359000,3,2.00,1910,1951,98105,SEATTLE,46,9,5683,NR3
PUBLIC_PROXY,3361093,"6518 18TH AVE NE, Seattle 98115",4,11,2025-12-23,2025-12-23,1057000,1195000,1057000,4,1.50,2440,1924,98115,SEATTLE,45,4,4080,NR3
PUBLIC_PROXY,3350973,"1108A 34TH AVENUE, Seattle 98122",47,11,2025-10-08,2025-10-08,556500,1100000,556500,0,0.00,0,0,98122,SEATTLE,25,47,670,NC1-30 (M)
PUBLIC_PROXY,3361943,"1829 29TH AVE, Seattle 98122",8,11,2025-12-31,2025-12-31,1354000,1200000,1354000,5,2.00,2480,1924,98122,SEATTLE,43,8,4560,LR2 (M1)
PUBLIC_PROXY,3363369,"511 HOWE ST UNIT B, Seattle 98109",5,11,2026-01-12,2026-01-12,1345000,1249900,1345000,3,2.00,1770,2024,98109,SEATTLE,12,5,803,LR3 (M)
PUBLIC_PROXY,3343983,"911 32ND AVENUE SOUTH, Seattle 98144",8,11,2025-08-19,2025-08-19,1334000,1200000,1334000,4,2.25,1540,1906,98144,SEATTLE,14,8,4522,NR3
PUBLIC_PROXY,3346193,"3405 188TH ST SW STE 401, Seattle 98037",11,11,2025-09-05,2025-09-05,1059000,1350000,1059000,3,1.50,2120,1904,98037,SEATTLE,42,11,6720,LR2 (M)
PUBLIC_PROXY,3345249,"930 23RD AVE, Seattle 98122",98122,14,2025-08-27,2025-08-27,1040000,1100000,1040000,0,0.00,0,0,98122,Seattle,,,0,
PUBLIC_PROXY,3347781,"415 NE 95TH ST, Seattle 98115",2,2,2025-09-16,2025-09-16,1588000,1175000,1588000,4,1.75,1960,1939,98115,SEATTLE,7,2,5413,NR3
PUBLIC_PROXY,3353506,"2225 E BELT LINE RD SUITE 200, Seattle 75006",9,11,2025-10-29,2025-10-29,1317000,1225000,1317000,4,1.50,1750,1930,75006,SEATTLE,43,9,4800,NR3
PUBLIC_PROXY,3348993,"1816 9TH AVENUE WEST, Seattle 98119",9,11,2025-09-23,2025-09-23,1050000,1255000,1050000,3,1.75,1500,1906,98119,SEATTLE,12,9,5281,NR3
PUBLIC_PROXY,3353171,"2114 1ST AVE N, Seattle 98109",9,11,2025-10-22,2025-10-22,1033000,1399000,1033000,3,2.50,1530,2025,98109,SEATTLE,12,9,1877,LR2 (M)
PUBLIC_PROXY,3342975,"6002  3RD AVE NW, Seattle 98107",1,12,2025-08-11,2025-08-11,1565000,1270000,1565000,7,4.50,3110,1984,98107,SEATTLE,19,1,5000,LR1 (M)
PUBLIC_PROXY,3342708,"7534 BROOKLYN AVENUE NORTHEAST, Seattle 98115",4,11,2025-08-11,2025-08-11,926000,1200000,926000,4,1.75,2430,1928,98115,SEATTLE,45,4,3800,NR3
PUBLIC_PROXY,3350599,"481 LAKE DRIVE, Seattle 06437",7,11,2025-09-16,2025-09-16,1163000,1150000,1163000,4,1.75,2100,1914,06437,SEATTLE,16,7,7200,RSL (M)
PUBLIC_PROXY,3351588,"7015 26TH AVE NE, Seattle 98115",5,11,2025-10-10,2025-10-10,1195000,1185000,1195000,4,2.25,2370,1959,98115,SEATTLE,45,5,6000,NR3
PUBLIC_PROXY,3353851,"710 9TH AVENUE, Seattle 98104",98104,11,2025-10-31,2025-10-31,1092000,1400000,1092000,3,2.00,1100,1919,98104,Seattle,,,0,
PUBLIC_PROXY,3359186,"3447 12TH AVE W, Seattle 98119",2,11,2025-12-11,2025-12-11,963000,1130000,963000,2,1.50,1460,1961,98119,SEATTLE,12,2,6000,NR3
PUBLIC_PROXY,3345986,"11274 ROSEBERG AVE SOUTH, Seattle 98168",98168,11,2025-08-28,2025-08-28,815000,1200000,815000,2,2.00,1580,1948,98168,Seattle,,,0,
PUBLIC_PROXY,3346942,"6310 VICTORIA AVE SE, Seattle 98092",35,59,2025-09-11,2025-09-11,937000,1250000,937000,0,0.00,0,0,98092,SEATTLE,45,35,5200,NC2-55 (M)
PUBLIC_PROXY,3354028,"3027 NW 69TH STREET, Seattle 98117",10,11,2025-10-30,2025-10-30,1250000,1330000,1250000,4,3.00,2320,2014,98117,SEATTLE,19,10,2500,NR3
PUBLIC_PROXY,3348281,"1920 4TH AVENUE UNIT 1105, Seattle 98101",98101,14,2025-09-17,2025-09-17,1093000,1250000,1093000,0,0.00,0,0,98101,Seattle,,,0,
PUBLIC_PROXY,3354625,"8536 SOUTH 114TH STREET, Seattle 98178",98178,11,2025-10-31,2025-10-31,1225000,1215000,1225000,4,4.00,3260,2024,98178,Seattle,,,0,
PUBLIC_PROXY,3347929,"3701 EAST JEFFERSON STREET, Seattle 98122",8,11,2025-09-12,2025-09-12,1368000,1395000,1368000,4,1.50,1990,1972,98122,SEATTLE,14,8,8494,NR3
PUBLIC_PROXY,3348300,"2341 N 122ND ST, Seattle 98133",5,11,2025-09-18,2025-09-18,1032000,1295000,1032000,2,1.75,1810,1961,98133,SEATTLE,8,5,8428,NR2
PUBLIC_PROXY,3349324,"9737 2ND AVE NW, Seattle 98117",98117,11,2025-09-26,2025-09-26,1070000,1331313,1070000,4,3.00,3070,1956,98117,Seattle,,,0,
PUBLIC_PROXY,3349742,"4233 CORLISS AVE N, Seattle 98103",8,11,2025-09-24,2025-09-24,1012000,1355000,1012000,4,2.00,1640,1916,98103,SEATTLE,43,8,3600,NR3
PUBLIC_PROXY,3345870,"322 NW 47TH ST, Seattle 98107",98107,14,2025-09-03,2025-09-03,1080950,1150000,1080950,0,0.00,0,0,98107,Seattle,,,0,
PUBLIC_PROXY,3351205,"4110 SW ROSE ST, Seattle 98136",1,11,2025-10-07,2025-10-07,1271000,1325000,1271000,5,1.75,2260,1953,98136,SEATTLE,17,1,6339,NR3
